date;heure;A1;PA04C;AUT;BASCH;AUB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/10/2016;1;400;200;400;300;200
01/10/2016;2;300;200;300;300;200
01/10/2016;3;300;100;300;200;200
01/10/2016;4;300;100;300;200;200
01/10/2016;5;300;200;400;300;100
01/10/2016;6;400;100;500;300;100
01/10/2016;7;500;100;400;400;100
01/10/2016;8;400;100;400;400;200
01/10/2016;9;400;100;400;500;200
01/10/2016;10;500;100;300;400;100
01/10/2016;11;400;100;300;500;200
01/10/2016;12;300;100;400;400;100
01/10/2016;13;400;100;300;400;100
01/10/2016;14;300;100;300;500;100
01/10/2016;15;300;100;300;400;100
01/10/2016;16;300;100;300;400;100
01/10/2016;17;300;100;400;400;100
01/10/2016;18;400;100;600;500;100
01/10/2016;19;500;200;500;400;100
01/10/2016;20;400;200;300;300;200
01/10/2016;21;400;200;300;300;200
01/10/2016;22;400;200;300;400;100
01/10/2016;23;200;100;300;400;100
01/10/2016;24;200;100;200;300;100
02/10/2016;1;200;100;200;200;100
02/10/2016;2;200;100;100;200;100
02/10/2016;3;200;100;100;200;100
02/10/2016;4;200;100;100;200;100
02/10/2016;5;300;100;100;100;100
02/10/2016;6;200;100;100;100;100
02/10/2016;7;200;100;200;200;100
02/10/2016;8;300;100;300;200;100
02/10/2016;9;400;200;200;300;100
02/10/2016;10;300;200;200;300;100
02/10/2016;11;400;200;300;500;100
02/10/2016;12;400;200;300;400;100
02/10/2016;13;500;100;300;400;100
02/10/2016;14;400;200;300;400;100
02/10/2016;15;400;100;300;400;100
02/10/2016;16;400;200;300;500;100
02/10/2016;17;500;200;300;700;100
02/10/2016;18;400;200;400;700;100
02/10/2016;19;500;200;700;800;200
02/10/2016;20;300;200;600;600;200
02/10/2016;21;300;200;700;500;200
02/10/2016;22;400;200;700;400;200
02/10/2016;23;400;200;500;500;200
02/10/2016;24;400;200;400;300;200
03/10/2016;1;300;200;300;300;200
03/10/2016;2;200;100;200;200;100
03/10/2016;3;300;100;300;200;100
03/10/2016;4;300;100;300;300;200
03/10/2016;5;400;100;500;500;200
03/10/2016;6;600;200;800;700;300
03/10/2016;7;900;300;1300;1300;400
03/10/2016;8;1100;400;600;1400;400
03/10/2016;9;700;300;600;800;400
03/10/2016;10;400;300;600;600;300
03/10/2016;11;300;100;500;500;200
03/10/2016;12;300;100;400;400;100
03/10/2016;13;300;100;400;400;100
03/10/2016;14;200;100;400;400;100
03/10/2016;15;300;100;500;400;100
03/10/2016;16;400;100;500;700;100
03/10/2016;17;400;100;700;700;100
03/10/2016;18;600;200;500;900;100
03/10/2016;19;500;300;600;800;200
03/10/2016;20;400;300;600;700;400
03/10/2016;21;600;300;1200;600;600
03/10/2016;22;500;300;1100;500;500
03/10/2016;23;300;200;800;400;400
03/10/2016;24;300;200;500;300;300
04/10/2016;1;200;200;300;200;200
04/10/2016;2;200;200;200;200;400
04/10/2016;3;200;200;200;200;300
04/10/2016;4;200;200;400;200;200
04/10/2016;5;300;200;500;400;200
04/10/2016;6;500;300;700;700;200
04/10/2016;7;700;400;1700;800;300
04/10/2016;8;500;300;900;1100;300
04/10/2016;9;300;300;500;600;200
04/10/2016;10;300;300;n/d;500;200
04/10/2016;11;200;200;600;500;200
04/10/2016;12;200;200;500;400;200
04/10/2016;13;200;200;500;400;100
04/10/2016;14;200;200;400;500;100
04/10/2016;15;200;200;600;700;100
04/10/2016;16;200;200;500;700;100
04/10/2016;17;300;200;600;600;200
04/10/2016;18;300;300;500;600;200
04/10/2016;19;300;200;600;600;200
04/10/2016;20;300;200;400;400;200
04/10/2016;21;300;200;400;400;200
04/10/2016;22;200;200;400;400;200
04/10/2016;23;200;200;300;300;200
04/10/2016;24;200;200;200;200;200
05/10/2016;1;200;200;200;200;100
05/10/2016;2;200;200;300;100;100
05/10/2016;3;200;100;200;100;200
05/10/2016;4;200;100;200;200;100
05/10/2016;5;300;100;200;200;100
05/10/2016;6;300;200;400;400;100
05/10/2016;7;400;200;800;600;200
