date;heure;GEN;LOGNES;AUT;PA15L;CERGY;NOGENT;A1;RN2;DEF;RUR-NO;PA18;OPERA;RAMBO;BOB;PA04C;RUR_S;RN6;HAUS;VITRY;RD934;BASCH;ELYS;BP_EST;TREMB
;;microg/m3;microg/m3;ug/m3;ug/m3;microg/m3;microg/m3;microg/m3;ug/m3;microg/m3;microg/m3;microg/m3;microg/m3;ug/m3;microg/m3;microg/m3;ug/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/10/2016;1;14;14;29;n/d;10;10;24;15;17;4;11;15;10;11;16;n/d;8;21;12;8;23;14;24;13
01/10/2016;2;14;6;24;n/d;11;10;18;13;18;3;16;n/d;9;9;16;2;7;14;11;7;19;18;25;7
01/10/2016;3;15;15;19;n/d;10;13;31;14;14;10;14;n/d;9;14;16;2;13;11;11;6;14;13;15;10
01/10/2016;4;12;15;25;n/d;10;16;32;8;11;9;9;12;8;10;9;2;8;10;11;14;15;11;10;9
01/10/2016;5;10;14;32;n/d;9;14;36;7;12;6;8;15;13;10;8;3;7;10;10;11;19;11;11;12
01/10/2016;6;12;14;36;n/d;12;9;37;15;15;7;10;15;7;12;11;8;12;14;11;13;25;14;19;13
01/10/2016;7;14;17;30;n/d;9;12;42;13;13;7;9;13;4;14;12;4;11;17;15;23;26;16;14;16
01/10/2016;8;9;17;24;n/d;14;14;42;17;11;12;8;19;5;12;11;5;19;14;10;42;23;15;15;19
01/10/2016;9;11;16;27;n/d;8;11;42;19;11;11;11;23;7;12;10;4;25;21;11;35;33;20;26;13
01/10/2016;10;11;14;30;n/d;12;13;47;25;11;11;13;25;8;14;13;1;21;27;11;27;35;22;25;13
01/10/2016;11;10;12;24;n/d;11;14;41;25;10;10;12;23;7;17;18;2;16;20;16;18;26;19;26;16
01/10/2016;12;9;14;24;n/d;10;11;33;26;12;10;13;23;8;11;16;3;22;n/d;13;17;28;23;32;14
01/10/2016;13;10;13;15;n/d;7;10;40;19;12;8;10;28;6;11;19;5;16;19;11;15;23;21;19;14
01/10/2016;14;9;10;20;n/d;12;8;34;21;13;7;8;15;6;9;13;4;19;20;11;17;20;30;21;11
01/10/2016;15;8;8;28;n/d;10;7;37;16;10;8;9;20;7;5;13;10;19;19;12;19;23;26;17;10
01/10/2016;16;7;10;26;n/d;9;7;40;20;13;7;9;22;8;9;15;7;19;23;13;16;18;26;16;8
01/10/2016;17;8;12;19;n/d;6;10;35;19;11;5;8;21;6;11;16;4;14;19;11;27;20;25;17;10
01/10/2016;18;6;9;27;n/d;9;7;44;13;9;7;7;16;7;7;13;4;20;12;8;15;18;17;15;8
01/10/2016;19;4;11;23;n/d;11;5;41;13;12;10;6;21;4;3;15;2;19;16;8;13;21;20;15;8
01/10/2016;20;4;10;20;n/d;12;12;41;13;11;14;7;20;5;4;15;3;17;12;7;10;19;25;15;7
01/10/2016;21;5;6;20;n/d;7;10;43;14;8;10;9;14;7;9;16;3;14;14;8;14;14;18;14;8
01/10/2016;22;7;5;23;n/d;7;8;43;11;9;10;10;18;5;6;17;5;12;15;8;12;20;21;15;11
01/10/2016;23;6;9;22;n/d;10;13;28;11;8;10;8;22;5;6;16;6;18;17;13;8;17;17;15;13
01/10/2016;24;6;7;18;n/d;10;10;37;14;6;9;9;21;4;9;13;6;14;13;9;5;15;22;18;12
02/10/2016;1;6;8;20;n/d;9;9;26;12;8;10;10;20;7;6;12;5;11;13;10;8;15;21;12;7
02/10/2016;2;6;6;14;n/d;9;8;22;13;7;8;8;23;9;6;10;3;9;13;10;7;15;20;15;8
02/10/2016;3;6;4;13;n/d;8;6;23;8;6;7;7;11;6;8;8;2;8;14;11;7;12;15;16;9
02/10/2016;4;6;8;13;n/d;8;7;28;10;8;10;8;11;6;8;9;7;12;11;9;6;13;15;18;9
02/10/2016;5;6;10;11;n/d;9;8;36;9;9;8;8;13;3;12;9;8;12;12;9;8;11;14;19;9
02/10/2016;6;7;7;13;n/d;10;8;29;10;9;6;7;10;8;9;9;8;10;8;12;11;11;14;20;9
02/10/2016;7;6;10;18;n/d;12;10;27;10;8;9;7;13;9;14;9;7;15;10;11;10;17;10;15;10
02/10/2016;8;6;10;23;n/d;9;10;35;13;7;9;7;21;13;11;9;7;15;10;9;14;18;10;19;7
02/10/2016;9;6;10;16;n/d;8;9;33;12;5;9;8;21;11;10;9;8;18;14;14;20;15;17;12;2
02/10/2016;10;5;n/d;21;n/d;7;8;37;14;5;10;9;19;11;7;11;6;21;10;9;18;18;18;12;6
02/10/2016;11;6;n/d;18;n/d;10;8;36;14;7;9;9;16;8;7;8;9;19;8;11;18;24;25;10;11
02/10/2016;12;6;n/d;17;n/d;10;6;33;13;6;8;7;10;9;7;10;10;12;10;10;15;18;18;8;8
02/10/2016;13;5;n/d;16;n/d;7;7;29;12;3;7;7;10;7;8;13;7;15;9;11;14;21;25;8;8
02/10/2016;14;4;n/d;17;n/d;8;7;37;13;7;8;9;9;4;5;11;4;12;12;7;13;18;38;8;7
02/10/2016;15;6;n/d;19;n/d;11;7;33;15;8;8;9;14;4;10;11;5;14;6;11;17;17;27;13;7
02/10/2016;16;7;10;17;n/d;15;9;28;13;8;6;10;9;7;7;12;7;19;12;10;15;19;35;13;8
02/10/2016;17;9;9;15;n/d;12;12;38;9;9;9;11;10;7;9;14;4;16;14;15;20;27;32;18;8
02/10/2016;18;10;17;28;n/d;13;13;34;13;11;14;13;17;15;17;15;n/d;24;12;12;25;29;26;14;9
02/10/2016;19;12;26;49;n/d;21;21;40;17;10;13;14;17;17;14;15;3;22;17;15;29;27;25;17;13
02/10/2016;20;17;30;47;n/d;15;15;34;26;11;9;18;19;20;14;14;5;36;11;15;25;30;22;19;19
02/10/2016;21;17;25;44;n/d;15;13;29;22;14;10;16;17;21;16;13;5;34;15;15;15;31;25;23;15
02/10/2016;22;17;22;34;n/d;12;17;43;21;14;10;15;20;18;22;14;11;43;14;19;13;28;23;20;15
02/10/2016;23;19;20;33;n/d;13;14;43;22;15;9;16;14;13;21;14;9;20;16;18;10;27;23;21;15
02/10/2016;24;18;20;31;n/d;15;12;44;21;12;8;16;20;16;22;14;9;17;16;23;7;24;28;18;18
03/10/2016;1;17;15;24;n/d;11;10;32;18;12;8;15;16;10;18;15;11;18;7;14;7;21;35;26;18
03/10/2016;2;15;16;23;n/d;10;17;32;14;9;9;14;14;7;16;13;9;17;13;16;12;16;17;24;16
03/10/2016;3;16;n/d;31;n/d;9;17;43;23;11;6;15;16;8;16;13;8;19;18;11;18;18;22;28;18
03/10/2016;4;17;n/d;34;n/d;13;15;49;29;12;4;16;20;12;18;14;8;23;16;17;13;22;22;30;17
03/10/2016;5;19;20;43;n/d;12;18;47;31;17;3;19;16;10;21;14;7;33;16;19;23;35;21;33;17
03/10/2016;6;18;25;45;n/d;11;20;70;45;17;4;24;23;13;22;17;7;42;35;39;22;40;41;58;20
03/10/2016;7;23;32;41;n/d;23;33;68;58;21;6;26;32;20;29;25;7;44;31;32;40;51;43;115;24
03/10/2016;8;37;32;33;n/d;22;36;76;51;30;7;41;38;18;43;34;9;47;43;42;70;55;45;77;32
03/10/2016;9;84;20;43;n/d;17;40;71;50;35;17;41;45;12;31;31;15;42;42;44;54;n/d;56;61;35
03/10/2016;10;54;23;55;n/d;17;36;50;49;41;17;39;50;12;26;32;14;25;30;28;49;n/d;49;46;26
03/10/2016;11;25;20;51;n/d;15;25;45;n/d;40;14;32;39;10;14;27;9;20;40;n/d;19;n/d;45;34;14
03/10/2016;12;16;15;45;n/d;13;20;33;n/d;23;14;26;35;13;13;16;8;21;29;n/d;16;n/d;51;33;9
03/10/2016;13;13;14;42;n/d;12;14;34;n/d;21;17;19;32;16;10;20;8;18;25;18;21;n/d;47;25;8
03/10/2016;14;11;12;40;n/d;12;11;34;n/d;17;10;21;26;17;11;14;7;14;20;9;15;n/d;55;25;9
03/10/2016;15;12;10;40;n/d;8;11;34;n/d;18;12;18;21;14;8;15;7;17;24;15;17;n/d;39;27;10
03/10/2016;16;10;11;26;n/d;11;12;33;n/d;17;10;16;16;17;11;16;8;21;32;9;34;n/d;58;24;16
03/10/2016;17;10;11;34;n/d;15;13;35;n/d;20;10;17;22;13;13;15;8;20;30;8;30;n/d;47;32;15
03/10/2016;18;13;14;34;n/d;23;14;47;n/d;21;14;19;30;19;14;15;10;31;23;15;51;n/d;51;37;12
03/10/2016;19;19;21;33;n/d;16;19;56;n/d;18;13;22;28;15;24;16;11;49;29;20;56;n/d;35;46;18
03/10/2016;20;19;29;38;n/d;18;22;49;n/d;17;11;24;28;19;27;21;8;44;29;25;39;n/d;36;48;21
03/10/2016;21;23;30;59;n/d;13;22;60;n/d;21;13;29;33;17;18;23;9;31;29;22;26;n/d;32;45;24
03/10/2016;22;28;25;55;n/d;14;21;49;n/d;24;15;32;30;14;19;22;10;32;26;23;19;n/d;37;43;26
03/10/2016;23;22;26;46;n/d;15;23;41;n/d;25;14;30;31;13;20;19;14;24;31;16;24;n/d;36;35;23
03/10/2016;24;19;21;42;n/d;17;22;31;n/d;20;19;24;32;12;23;20;14;22;27;18;20;n/d;21;32;19
04/10/2016;1;16;n/d;31;n/d;17;19;27;n/d;17;14;20;27;16;21;19;15;27;19;14;19;n/d;21;25;21
04/10/2016;2;16;n/d;22;n/d;18;16;31;n/d;15;13;19;21;10;16;22;14;24;18;12;24;n/d;15;29;20
04/10/2016;3;14;n/d;27;n/d;18;16;24;n/d;16;15;19;17;16;12;18;12;18;20;17;30;n/d;17;30;18
04/10/2016;4;15;n/d;42;n/d;18;18;39;n/d;19;15;19;23;12;14;19;12;19;19;14;36;n/d;21;41;16
04/10/2016;5;18;15;56;n/d;21;20;50;n/d;18;12;21;27;12;15;20;10;33;24;16;38;n/d;24;48;16
04/10/2016;6;23;19;51;n/d;16;21;57;n/d;18;11;23;37;12;20;22;12;42;29;24;58;n/d;32;57;16
04/10/2016;7;28;20;57;n/d;19;24;64;n/d;23;10;29;41;16;22;27;10;39;37;22;72;n/d;43;44;20
