Date de l'épisode;Origine;Polluant;Région;Département;Seuil dépassé
01/01/2017;CONSTAT;NO2;BRETAGNE;FINISTERE;200 µg/m³ / 1h
01/01/2017;CONSTAT;PM10;BRETAGNE;FINISTERE;50 µg/m³ / 24h
04/01/2017;CONSTAT;PM10;BRETAGNE;ILLE-ET-VILAINE;50 µg/m³ / 24h
04/01/2017;CONSTAT;PM10;GUYANE;GUYANE;80 µg/m³ / 24h
05/01/2017;CONSTAT;PM10;AQUITAINE;LANDES;50 µg/m³ / 24h
06/01/2017;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
07/01/2017;CONSTAT;PM10;BRETAGNE;ILLE-ET-VILAINE;50 µg/m³ / 24h
07/01/2017;CONSTAT;PM10;BRETAGNE;ILLE-ET-VILAINE;50 µg/m³ / 24h
07/01/2017;CONSTAT;PM10;MIDI-PYRENEES;TARN;50 µg/m³ / 24h
07/01/2017;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
08/01/2017;CONSTAT;PM10;HAUTE-NORMANDIE;SEINE-MARITIME;50 µg/m³ / 24h
08/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
08/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
18/01/2017;CONSTAT;PM10;RHONE-ALPES;RHONE;50 µg/m³ / 24h
19/01/2017;CONSTAT;PM10;FRANCHE-COMTE;JURA;50 µg/m³ / 24h
19/01/2017;CONSTAT;PM10;FRANCHE-COMTE;TERRITOIRE DE BELFORT;50 µg/m³ / 24h
19/01/2017;CONSTAT;PM10;RHONE-ALPES;ISERE;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;ALSACE;BAS-RHIN;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;ALSACE;HAUT-RHIN;50 µg/m³ / 24h
07/12/2016;CONSTAT;PM10;ALSACE;HAUT-RHIN;50 µg/m³ / 24h
05/03/2016;CONSTAT;PM10;ALSACE;HAUT-RHIN;50 µg/m³ / 24h
23/02/2016;CONSTAT;PM10;ALSACE;HAUT-RHIN;50 µg/m³ / 24h
10/12/2016;CONSTAT;PM10;AQUITAINE;GIRONDE;50 µg/m³ / 24h
05/12/2016;CONSTAT;PM10;AQUITAINE;GIRONDE;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;FRANCHE-COMTE;DOUBS;50 µg/m³ / 24h
05/12/2016;CONSTAT;PM10;AQUITAINE;LANDES;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;VAL-DE-MARNE;80 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;VAL-D'OISE;80 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;LIMOUSIN;CORREZE;50 µg/m³ / 24h
31/12/2016;CONSTAT;PM10;AQUITAINE;PYRENEES-ATLANTIQUES;50 µg/m³ / 24h
22/12/2016;CONSTAT;PM10;AQUITAINE;PYRENEES-ATLANTIQUES;50 µg/m³ / 24h
16/12/2016;CONSTAT;PM10;AQUITAINE;PYRENEES-ATLANTIQUES;50 µg/m³ / 24h
12/02/2016;CONSTAT;PM10;AQUITAINE;PYRENEES-ATLANTIQUES;50 µg/m³ / 24h
31/01/2016;CONSTAT;PM10;AQUITAINE;PYRENEES-ATLANTIQUES;50 µg/m³ / 24h
29/01/2016;CONSTAT;PM10;AQUITAINE;PYRENEES-ATLANTIQUES;50 µg/m³ / 24h
16/12/2016;CONSTAT;PM10;AUVERGNE;PUY-DE-DOME;50 µg/m³ / 24h
15/12/2016;CONSTAT;PM10;AUVERGNE;PUY-DE-DOME;50 µg/m³ / 24h
21/03/2016;CONSTAT;PM10;AUVERGNE;PUY-DE-DOME;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;MIDI-PYRENEES;AVEYRON;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
27/12/2016;CONSTAT;PM10;BASSE-NORMANDIE;CALVADOS;50 µg/m³ / 24h
02/12/2016;CONSTAT;PM10;BASSE-NORMANDIE;CALVADOS;50 µg/m³ / 24h
27/11/2016;CONSTAT;PM10;BASSE-NORMANDIE;CALVADOS;50 µg/m³ / 24h
13/03/2016;CONSTAT;PM10;BASSE-NORMANDIE;CALVADOS;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
30/12/2016;CONSTAT;PM10;BASSE-NORMANDIE;MANCHE;50 µg/m³ / 24h
29/12/2016;CONSTAT;PM10;BASSE-NORMANDIE;MANCHE;50 µg/m³ / 24h
22/03/2016;CONSTAT;PM10;BASSE-NORMANDIE;MANCHE;50 µg/m³ / 24h
12/03/2016;CONSTAT;PM10;BASSE-NORMANDIE;MANCHE;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
01/12/2016;CONSTAT;PM10;BASSE-NORMANDIE;ORNE;50 µg/m³ / 24h
12/03/2016;CONSTAT;PM10;BASSE-NORMANDIE;ORNE;50 µg/m³ / 24h
11/03/2016;CONSTAT;PM10;BASSE-NORMANDIE;ORNE;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;80 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;RHONE-ALPES;ISERE;80 µg/m³ / 24h
20/01/2017;CONSTAT;PM10;RHONE-ALPES;LOIRE;50 µg/m³ / 24h
10/12/2016;CONSTAT;PM10;BOURGOGNE;COTE-D'OR;50 µg/m³ / 24h
